序号,姓名,描述,武力,智力,合,必杀技,军师技,武器,可用阵形,使用阵形,可用兵种,使用兵种,黄巾之乱剧本及君主,讨伐董卓剧本及君主,群雄割据剧本及君主,赤壁之战剧本及君主,三国鼎立剧本及君主,血统,节操
141,孙静,孙静（157年—215年），字幼台，吴郡富春（今浙江富阳）人，东汉末年长沙太守孙坚之弟[1] ，孙策、孙权之叔。孙坚初起义军时，孙静集合乡里及宗族子弟五六百人作为孙坚的基础队伍。建安元年（196年），孙坚长子孙策进攻会稽，派人请孙静，孙静带家属与孙策在钱塘会面。孙静献计助孙策击败会稽太守王朗，平定会稽。孙策上表任命孙静为奋武校尉，打算委以重任。但孙静留念故乡，不愿出外为官，请求留任家乡镇守，孙策便同意他的要求。建安五年（200年），孙权执掌大事，就地升任孙静为昭义中郎将。孙静后终老故乡。概述图片来源：[2] ,55,77,132,木轮攻1雷击9雷光波动16地泉裂劲24雷光振杀31,快速集气(初)1增强攻击(初)9逼近敌军15乱阵24快速集气(中)15乱阵24快速集气(中)31,直剑,圆 鱼 ,圆,弓 ,弓,下邳登孙坚,长沙登孙坚,会稽登孙坚,予章登孙权,长沙登孙权,,4
142,孙礼,孙礼（？－250年），字德达。涿郡容城（今河北容城）人。三国时期曹魏将领。孙礼早年被曹操征为司空军谋掾。历任河间郡丞、荥阳都尉及山阳、平原、平昌、琅琊、阳平各地太守，后入朝任尚书。他为人刚毅而有勇略，曾为保护魏明帝曹叡而欲独身搏虎。魏明帝驾崩后，孙礼担任大将军曹爽的长史。旋即外授扬州刺史，在芍陂抵御东吴大都督全琮，力战破敌。后因在清河、平原二郡的疆界问题上得罪曹爽，遭罢官，其后被起用为城门校尉。转并州刺史、护匈奴中郎将。高平陵之变后，孙礼出任司隶校尉，他在所治理过的七郡五州之内皆有威信，不久升任司空，封大利亭侯。嘉平二年（250年），孙礼病逝，谥号景侯。《全三国文》录有其文一篇[1] 。,69,67,136,落石1突石剑9突袭石19龙炮激射28,保留气力(初)1强化士兵(初)10增加经验(初)20偷袭敌军2920偷袭敌军29,眉尖刀,锥 ,锥,弓 武 ,武,,,徐州登,代县登,代县野,,4
143,孙权,吴大帝孙权（182年－252年5月21日），字仲谋，吴郡富春县（今浙江省杭州市富阳区）人。三国时期孙吴的建立者（229年－252年5月21日在位）。[1] 孙权的父亲孙坚和兄长孙策，在东汉末年群雄割据中打下了江东基业。建安五年（200年），孙策遇刺身亡，孙权继之掌事，成为一方诸侯。建安十三年（208年），与刘备建立孙刘联盟，并于赤壁之战中击败曹操，奠定三国鼎立的基础。建安二十四年（219年），派吕蒙成功袭取刘备的荆州，使领土面积大大增加。黄武元年（222年），孙权被魏文帝曹丕册封为吴王，建立吴国。同年，在夷陵之战中大败刘备。黄龙元年（229年），在武昌正式称帝，国号吴，不久后迁都建业。孙权称帝后，设置农官，实行屯田，设置郡县，并继续剿抚山越，促进了江南经济的发展。黄龙二年（230年），所派将军卫温、诸葛直抵达夷州（今台湾）。孙权晚年在继承人问题上反复无常，引致群下党争，朝局不稳。于神凤元年（252年）病逝，享年七十一岁，在位二十四年，葬于蒋陵。谥号大皇帝，庙号太祖。[1] 孙权亦善书，唐代张怀瓘在《书估》中将其书法列为第三等。[2] （概述内图片来源：阎立本《历代帝王图》[3] ）,85,88,173,木轮攻1雷击7火箭烈13木轮强袭19黄龙天翔24火箭天袭32大地狂啸38,离间计(初)1快速集气(初)7增加经验(初)14太公阵19增加技力(中)14太公阵19增加技力(中)26增加经验(中)31保留气力(高)38,直剑,圆 鱼 ,圆,刀 ,刀,孙坚,孙坚,建业登孙坚,予章登孙权,建业登,孙坚,5
144,徐晃,徐晃（？~227年），字公明，河东郡杨县（今山西省洪洞县）人。三国时期曹魏名将。徐晃早年跟随杨奉征战，并说服杨奉护送汉献帝东归洛阳，受封都亭侯。后来，归顺曹操，参与徐州之战、官渡之战、攻打冀州、白狼山之战、南郡之战、渭南之战 、凉州之战、汉中之战等重大战役，屡立功勋。在樊城之战中，徐晃率军击退关羽，又紧随关羽展开追杀，并趁机连破关羽十重围堑，彻底解除了樊城之围。因为治军严整而被曹操称赞“有周亚夫之风”。曹魏建立后，加位右将军，徐晃被加封为右将军。其后，徐晃跟随夏侯尚击败蜀将刘封并夺取上庸。太和元年（227年），徐晃去世，谥号为壮，配享太祖（曹操）庙庭。,93,70,163,落日弓1旋灯火6突剑四方13烈火旋灯18太极华阵24神火旋张30神鬼乱舞37,离间计(初)1增加体力(初)9扰乱敌将(中)17劝降25快速集气(中)17劝降25快速集气(中)33,眉尖刀,方 钩 ,方,刀 ,刀,,濮阳野曹操,汝南登曹操,洛阳登曹操,徐州登曹操,,4
145,徐庶,徐庶（？—约230年代），字元直，豫州颍川（治今河南省禹州市）人。东汉末年刘备帐下谋士，后归曹操。徐庶本名徐福，为寒门子弟。早年为人报仇，获救后改名徐庶。后与同郡石广元避难于荆州，与司马徽、诸葛亮、崔州平等人来往密切。刘备屯驻新野时，徐庶前往投奔，化名单福，并向刘备推荐诸葛亮。徐庶南下时因母亲被曹操所获，辞别刘备，进入曹营。后来此事被艺术加工为“徐庶进曹营，一言不发”等歇后语，被广为流传。而徐庶也成为孝子的典范被加以称赞。魏文帝时，徐庶官至右中郎将、御史中丞。,66,97,163,命疗术1火雷6雷光波动12木轮强袭18黄龙天翔22雷击闪28木轮涛击34五雷轰顶39,扰乱敌将(初)1增加技力(初)7扰乱敌将(中)11包围敌军17快速集气(中)11包围敌军17快速集气(中)22扰乱敌将(高)28封武将技33增加经验(高)39,直剑,雁 玄 ,雁,弓 ,弓,,,新野野,宛登,徐州登,,4
146,徐盛,徐盛，（生卒年不详），琅邪莒县（今山东省莒县）人，三国时期孙吴名将。早年徐盛抗击黄祖，因功升为中郎将。在濡须浴血奋战。刘备伐吴地时，徐盛跟随陆逊攻下蜀军多处屯营；曹休伐吴时，徐盛在形势不利的情况下以少抗多，成功防御。因前后战功，徐盛先后升任建武将军、安东将军，任庐江太守。后来，曹丕大举攻吴，吴国依徐盛的建议在建业外围筑上围墙，曹丕中疑城之计而退走。黄武年间，徐盛病逝。徐盛曾获得君主“大壮”，三国时期仅有张辽[1] 、徐盛[2] 二人获此殊荣。他被陈寿盛赞为“江表之虎臣”。其官爵由儿子徐楷继承。,76,74,150,火箭1火雷8虎咆震14地泉裂劲21地泉鲸浪27火雷星雨34,后选出阵1混乱敌军(初)7降低士气(中)14乱阵20鼓舞士气(高)14乱阵20鼓舞士气(高)28增强攻击(中)33,铜殳,玄 钩 ,钩,炼 ,炼,,,下邳野,庐江登,建业登,,4
147,徐荣,徐荣（Wing Tsui），1974年8月7日出生于山东省，中国香港演员。1999年，参加第13期无线电视艺员训练班后加入无线电视，艺进同学会会员。于2006年5月播放的无线电视剧《火舞黄沙》中饰演阎国基而初露头角。因此剧关系，观众喜称他为国基叔。另外他于同年8月播放的电视剧《刑事情报科》中与李永豪一同饰演热血的OCTB探员更备受注目，他俩每次出场的操步、滚地及踢门等动作令观众留下深刻印象。2012年于处境剧《爱·回家》首次担任男主角，后于《心战》客串饰演变态杀手岑志聪，演出备受好评。,80,43,123,突石1回天术8八面火转16火牛阵22乱刀狂舞31,离间计(初)1,眉尖刀,锥 玄 ,玄,刀 ,刀,西凉登董卓,弘农登董卓,董卓,,,,3
148,徐质,徐质（？～254年），曾任讨蜀护军，颇有战功，斩蜀将张嶷。并多次随魏雍州刺史陈泰出征，拒蜀汉将领姜维。在襄武被敌军斩杀。,66,40,106,飞矢1八面火12冰柱刺24,降敌士气(初)1,眉尖刀,方 ,方,刀 铁 ,刀,,,,,天水野,,2
149,桓范,桓范（？～249年），字元则，沛郡龙亢县（今安徽省怀远县龙亢镇）人。三国时期曹魏大臣、文学家、画家。建安末年，担任丞相府掾，联合王象等共同撰写《皇览》。延康元年，担任羽林左监。魏明帝时，历任中领军、尚书，出任征虏将军、东中郎将、兖州刺史等。正始年间，授大司农，为大将军曹爽出谋划策，号称“智囊 ”。高平陵政变（249年）发生后，力劝曹爽挟带皇帝曹芳进入许昌，没有得到采纳，最终被太傅司马懿诛杀。桓范颇有文才，著有《世要论》（《桓范新书》）。善于画画，唐朝张彦远《历代名画记》目为中品。,41,86,127,地泉冲1火雷7火箭烈13后伏连兵21绝命坝26火箭天袭33,保留气力(初)1增强攻击(初)6逼近敌军13太公阵19保留气力(中)13太公阵19保留气力(中)26减少疲劳(高)30减缓集气(高)38,直剑,方 圆 玄 ,方,刀 飞 ,刀,,,,,新野野,,4
150,祖茂,祖茂（生卒年不详），东汉末年武将。孙坚的心腹将领。孙坚常著赤罽帻，乃脱帻令亲近将祖茂著之。卓骑争逐茂，故坚从间道得免。茂困迫，下马，以帻冠冢闲烧柱，因伏草中。卓骑望见，围绕数重，定近觉是柱，乃去。《三国演义》中说祖茂字大荣，《三国志·吴书·孙破虏传》中有记载。,74,65,139,连弩1旋灯火9突剑四方17地茅乱刺27,后选出阵1强化士兵(初)11扰乱敌将(中)19包围敌军3019包围敌军30,直剑,锥 钩 ,锥,飞 ,飞,下邳登,长沙登,,,,,5
151,祝融夫人,祝融夫人是罗贯中的中国古典历史题材小说《三国演义》中的虚构人物，不见于正史记载。小说中为南蛮王孟获之妻，带来洞主之姐，相传为火神祝融氏的后裔。有勇有谋，武艺高强，善使飞刀，百发百中，是《三国演义》中唯一正式上过战场的女子。曾与孟获一起抵抗蜀军，在两军阵前被马岱以绊马索活捉，在诸葛亮七擒七纵孟获之后，随孟获归顺蜀汉。,83,42,125,刀剑乱1鬼戟7回天术14龙炮激射20伏兵连阵28剑轮舞33,快速集气(初)1,短锥枪,圆 锥 ,锥,女 ,女,,孟获,孟获,云南登,云南登孟获,,2
152,秦宓,暂无,36,79,115,火箭1炎龙9拒陆马15雷光振杀23虎咆阳炎30,扰乱敌将(初)1诈败7扰乱敌将(中)13保护主将22降敌士气(高)13保护主将22降敌士气(高)28增强攻击(中)34,直剑,圆 ,圆,弓 ,弓,,,成都登,成都登,上庸登,,5
153,耿纪,耿纪（？－218年），【袁宏《後汉纪·献帝纪》作耿熙】字季行，东汉末期人物。祖先为耿弇。少有美名，初为丞相掾，后迁侍中，守少府。建安二十三年（218年）正月，耿纪与太医令吉本、司直韦晃、金祎等发动叛乱，趁夜攻打在许都（今河南许昌）的丞相长史王必，焚烧大门，并射中王必肩膀。最后，被王必和颍川典农中郎将严匡平定，耿纪、吉本等兵败被斩杀。,43,80,123,落月弓1火雷8拒陆马15伏兵排阵22火雷爆30,离间计(初)1强化士兵(初)8喝阻敌军(初)14包围敌军21保留气力(中)14包围敌军21保留气力(中)27增强攻击(中)34,直剑,方 ,方,刀 弓 ,弓,,,,洛阳登,,,6
154,荀攸,荀攸（157年－214年），字公达，颍川颍阴（今河南许昌）人。荀彧之侄，东汉末年谋士。荀攸在何进掌权时期任黄门侍郎，在董卓进京时曾因密谋刺杀董卓而入狱，后弃官回家。 曹操迎天子入许都之后，荀攸成为曹操的军师。 曹操征伐吕布时荀攸劝阻了曹操退兵，并献奇计水淹下邳城，活捉吕布。在官渡之战中，计斩颜良，又计斩文丑，又策奇兵派徐晃烧袁绍粮草，又力劝曹操采纳许攸之计奔袭乌巢，又力劝曹洪接纳张郃、高览，皆立下大功。建安八年（203年），刘表强盛。荀攸力排众议，主张趁袁绍诸子不和而先攻河北，被曹操上奏朝廷封为陵树亭侯。荀攸行事周密低调，计谋百出，深受曹操称赞。建安十九年（214年），荀攸在曹操伐吴途中去世。谥曰敬侯。荀攸被称为曹操的“谋主”，擅长灵活多变的克敌战术和军事策略。他生前设奇策共十二计，只有钟繇知道。钟繇整理未全就去世了，故后世不得而知。另著有《魏官仪》，今已佚。,52,95,147,地泉冲1虎咆6御飞刀11伏兵排阵18虎咆阳炎23炎龙杀阵29后伏军阵34五雷轰顶41,离间计(初)1诈败6扰乱敌将(中)12减少疲劳(中)17降敌士气(高)12减少疲劳(中)17降敌士气(高)23增加体力(中)30快速集气(高)35增强攻击(高)41,直剑,圆 鱼 ,圆,铁 ,铁,许昌野,许昌野,汝南登,襄阳登,,,4
155,荀彧,荀彧（xún yù）（163年－212年），字文若。颍川郡颍阴县（今河南许昌）人。东汉末年政治家、战略家，曹操统一北方的首席谋臣和功臣。荀彧早年被称为“王佐之才”，举孝廉出身，任守宫令。董卓执政后弃官归乡，率领宗族避难冀州，被袁绍待为上宾。后投奔曹操，官至侍中、守尚书令，封万岁亭侯，居中持重达十数年，处理军国事务，被人敬称为“荀令君”。后因反对曹操称魏公，被调离中枢，于寿春忧郁而亡（一说服毒自尽），享年五十岁。获谥为“敬”。魏咸熙二年（265年）被赠为太尉。荀彧在战略方面为曹操规划制定了统一北方的蓝图和军事路线，多次修正曹操的战略方针而获其赞赏，包括“深根固本以制天下”、“迎奉天子”；战术上，面对吕布叛乱而保全兖州三城，奇谋扼制袁绍于官渡，险出宛、叶而间行轻进以掩其不意奇袭荆州等诸多建树；政治上，为曹操举荐了钟繇、荀攸、陈群、杜袭、戏志才、郭嘉等大量人才。荀彧在建计、密谋、匡弼、举人等方面多有建树，被曹操称为“吾之子房”[1] 。,46,98,144,木轮攻1炎龙7火箭烈12炎龙无双17火雷爆23后伏兵阵28雷光燋狱33炎龙绝杀40,降敌士气(初)1增加技力(初)5喝阻敌军(初)12乱阵17恢复体力(中)12乱阵17恢复体力(中)23扰乱敌将(高)28恢复体力(高)34混乱敌军(高)39,直剑,圆 雁 ,圆,弓 ,弓,许昌野,许昌野,许昌登,新野登,,,6
156,袁尚,袁尚（？－207年），字显甫，汝南郡汝阳县（今河南省商水县）人。东汉末年群雄之一，冀州牧袁绍的第三子。出身汝南袁氏，容颜俊美，受到父亲袁绍的偏爱。继承袁绍的官爵，招致长兄袁谭的怨恨，兄弟相残，均被曹操所败，带着袁熙逃往辽西，投奔乌丸首领蹋顿。建安十二年（207年），曹操平定乌丸后，投奔辽东太守公孙康。遭到处死，首级传送于曹操之处。,71,50,121,飞矢1回天术9地茅刺19旋龙合璧27,减缓集气(初)1快速集气(初)24,直剑,方 锥 ,方,飞 ,飞,,南皮登袁绍,襄平登袁绍,袁绍,,袁绍,4
157,袁胤,袁胤（生卒年不详），汝南郡汝阳县（今河南商水县）人，东汉末年袁术部将。曾任丹阳太守，为孙策击溃。袁术死后，与黄猗等抬术棺柩，带领余众投奔皖城刘勋。,43,68,111,火箭1虎咆12御飞刀23,离间计(初)1诈败11降敌士气(中)20减少疲劳(中)2920减少疲劳(中)29,直剑,玄 ,玄,铁 ,铁,洛阳野,宛登,,,,,3
158,袁绍,袁绍（？－202年6月28日）[1] ，字本初，汝南汝阳（今河南省商水县）人。东汉末年军阀，汉末群雄之一，司空袁逢的儿子。袁绍出身“汝南袁氏”，四世三公。料。起家大将军（何进）掾，历任中军校尉、司隶校尉，参与指挥诛杀宦官。怒斥董卓，出任渤海太守，册封邟乡侯。初平元年（190年），担任关东联军首领，带兵讨伐董卓，自号车骑将军。励精图治，先后占据冀州、青州、并州、幽州地区，统一河北地区，交好北方少数民族，势力达到顶点。建安五年（200年），发动官渡之战，兵败于曹操。建安七年（202年），平定冀州叛乱之后，病逝于家中。（概述内图片来源：《图像三国志》）,81,77,158,落石1突石剑7神剑14地茅乱刺22乱刀狂舞29,鼓舞士气(初)1诈败7强化武将(初)16劝降23恢复体力(中)16劝降23恢复体力(中)31,眉尖刀,圆 雁 ,圆,刀 ,刀,洛阳登,南皮登,南皮登,,,,2
